CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,585,545,0
43,2,972,932,0
86,3,992,952,0
129,4,633,593,0
172,5,827,787,0
215,6,306,266,0
258,7,422,382,0
301,8,615,575,0
344,9,695,655,0
387,10,702,662,0
430,11,942,902,0
473,12,969,929,0
516,13,955,915,0
559,14,764,724,0
602,15,589,549,0
645,16,103,63,0
688,17,364,324,0
731,18,346,306,0
774,19,271,231,0
817,1,545,505,0
860,2,932,892,0
903,3,952,912,0
946,4,593,553,0
989,5,787,747,0
1032,6,266,226,0
1075,7,382,342,0
1118,8,575,535,0
1161,9,655,615,0
1204,10,662,622,0
1247,11,902,862,0
1290,12,929,889,0
1333,13,915,875,0
1376,14,724,684,0
1419,15,549,509,0
1462,16,63,23,0
1505,17,324,284,0
1548,18,306,266,0
1591,19,231,191,0
1634,1,505,465,0
1677,2,892,852,0
1720,3,912,872,0
1763,4,553,513,0
1806,5,747,707,0
1849,6,226,186,0
1892,7,342,302,0
1935,8,535,495,0
1978,9,615,575,0
2021,10,622,582,0
2064,11,862,822,0
2107,12,889,849,0
2150,13,875,835,0
2193,14,684,644,0
2236,15,509,469,0
2279,16,23,0,2302
2305,17,284,244,0
2348,18,266,226,0
2391,19,191,151,0
2434,1,465,425,0
2477,2,852,812,0
2520,3,872,832,0
2563,4,513,473,0
2606,5,707,667,0
2649,6,186,146,0
2692,7,302,262,0
2735,8,495,455,0
2778,9,575,535,0
2821,10,582,542,0
2864,11,822,782,0
2907,12,849,809,0
2950,13,835,795,0
2993,14,644,604,0
3036,15,469,429,0
3079,17,244,204,0
3122,18,226,186,0
3165,19,151,111,0
3208,1,425,385,0
3251,2,812,772,0
3294,3,832,792,0
3337,4,473,433,0
3380,5,667,627,0
3423,6,146,106,0
3466,7,262,222,0
3509,8,455,415,0
3552,9,535,495,0
3595,10,542,502,0
3638,11,782,742,0
3681,12,809,769,0
3724,13,795,755,0
3767,14,604,564,0
3810,15,429,389,0
3853,17,204,164,0
3896,18,186,146,0
3939,19,111,71,0
3982,1,385,345,0
4025,2,772,732,0
4068,3,792,752,0
4111,4,433,393,0
4154,5,627,587,0
4197,6,106,66,0
4240,7,222,182,0
4283,8,415,375,0
4326,9,495,455,0
4369,10,502,462,0
4412,11,742,702,0
4455,12,769,729,0
4498,13,755,715,0
4541,14,564,524,0
4584,15,389,349,0
4627,17,164,124,0
4670,18,146,106,0
4713,19,71,31,0
4756,1,345,305,0
4799,2,732,692,0
4842,3,752,712,0
4885,4,393,353,0
4928,5,587,547,0
4971,6,66,26,0
5014,7,182,142,0
5057,8,375,335,0
5100,9,455,415,0
5143,10,462,422,0
5186,11,702,662,0
5229,12,729,689,0
5272,13,715,675,0
5315,14,524,484,0
5358,15,349,309,0
5401,17,124,84,0
5444,18,106,66,0
5487,19,31,0,5518
5521,1,305,265,0
5564,2,692,652,0
5607,3,712,672,0
5650,4,353,313,0
5693,5,547,507,0
5736,6,26,0,5762
5765,7,142,102,0
5808,8,335,295,0
5851,9,415,375,0
5894,10,422,382,0
5937,11,662,622,0
5980,12,689,649,0
6023,13,675,635,0
6066,14,484,444,0
6109,15,309,269,0
6152,17,84,44,0
6195,18,66,26,0
6238,1,265,225,0
6281,2,652,612,0
6324,3,672,632,0
6367,4,313,273,0
6410,5,507,467,0
6453,7,102,62,0
6496,8,295,255,0
6539,9,375,335,0
6582,10,382,342,0
6625,11,622,582,0
6668,12,649,609,0
6711,13,635,595,0
6754,14,444,404,0
6797,15,269,229,0
6840,17,44,4,0
6883,18,26,0,6909
6912,1,225,185,0
6955,2,612,572,0
6998,3,632,592,0
7041,4,273,233,0
7084,5,467,427,0
7127,7,62,22,0
7170,8,255,215,0
7213,9,335,295,0
7256,10,342,302,0
7299,11,582,542,0
7342,12,609,569,0
7385,13,595,555,0
7428,14,404,364,0
7471,15,229,189,0
7514,17,4,0,7518
7521,1,185,145,0
7564,2,572,532,0
7607,3,592,552,0
7650,4,233,193,0
7693,5,427,387,0
7736,7,22,0,7758
7761,8,215,175,0
7804,9,295,255,0
7847,10,302,262,0
7890,11,542,502,0
7933,12,569,529,0
7976,13,555,515,0
8019,14,364,324,0
8062,15,189,149,0
8105,1,145,105,0
8148,2,532,492,0
8191,3,552,512,0
8234,4,193,153,0
8277,5,387,347,0
8320,8,175,135,0
8363,9,255,215,0
8406,10,262,222,0
8449,11,502,462,0
8492,12,529,489,0
8535,13,515,475,0
8578,14,324,284,0
8621,15,149,109,0
8664,1,105,65,0
8707,2,492,452,0
8750,3,512,472,0
8793,4,153,113,0
8836,5,347,307,0
8879,8,135,95,0
8922,9,215,175,0
8965,10,222,182,0
9008,11,462,422,0
9051,12,489,449,0
